"id","activity","location","climate","historical","activities","budget","description","image"
1,"Hiking","Machu Picchu - Peru","hot","modern","adventure","budget-friendly","Explore the ancient ruins of Machu Picchu through a thrilling hiking adventure.","https://i.imgur.com/HRWfhn7.png"
2,"Scuba diving","Auckland - New Zealand","hot","modern","adventure","luxury","Experience luxury scuba diving in the beautiful waters off the coast of Auckland.","https://i.imgur.com/0pfzgFu.png"
3,"Skiing","Aspen - Colorado","cold","modern","relaxation","budget-friendly","Combine relaxation and adventure with a budget-friendly skiing trip to Aspen.","https://i.imgur.com/bv3pCa7.png"
4,"Surfing","Bali - Indonesia","hot","ancient","relaxation","luxury","Indulge in luxury while surfing the ancient waves of Bali.","https://i.imgur.com/z3oYJFR.png"
5,"Rock climbing","Yosemite National Park - USA","cold","ancient","adventure","budget-friendly","Embark on an ancient adventure with a budget-friendly rock climbing experience in Yosemite.","https://i.imgur.com/y2MPz7M.png"
6,"Snorkeling","Maldives","hot","ancient","adventure","luxury","Discover ancient wonders in luxury with a snorkeling trip in the crystal-clear waters of the Maldives.","https://i.imgur.com/VnfDeWo.png"
7,"Horseback riding","Cappadocia - Turkey","cold","modern","relaxation","budget-friendly","Combine ancient relaxation and adventure with a budget-friendly horseback riding trip in Cappadocia.","https://i.imgur.com/XMtRSAi.png"
8,"Hot air ballooning","Santorini - Greece","hot","ancient","relaxation","luxury","Experience the ancient wonders of Santorini in luxury with a relaxing hot air ballooning journey.","https://i.imgur.com/3nttDSa.png"
9,"Kayaking","Fiordland National Park - New Zealand","cold","modern","adventure","budget-friendly","Explore the modern beauty of Fiordland National Park through a thrilling budget-friendly kayaking adventure.","https://i.imgur.com/9pYa0jM.png"
10,"Zip lining","Costa Rica","hot","modern","adventure","luxury","Indulge in luxury while zip-lining through the lush rainforests of Costa Rica.","https://i.imgur.com/iUSlTKx.png"
11,"Cycling","Provence - France","cold","ancient","relaxation","budget-friendly","Embark on an ancient adventure with a budget-friendly cycling trip in the scenic landscapes of Provence.","https://i.imgur.com/SUQWSVT.png"
12,"Paragliding","Queenstown - New Zealand","cold","ancient","relaxation","luxury","Discover ancient wonders in luxury with a paragliding adventure over the stunning landscapes of Queenstown.","https://i.imgur.com/C58WgaI.png"
13,"Surfing","Bondi Beach - Australia","hot","modern","adventure","budget-friendly","Explore the modern waves of Bondi Beach through a thrilling budget-friendly surfing experience.","https://i.imgur.com/yWgFrr1.png"
14,"Caving","Waitomo - New Zealand","cold","modern","adventure","luxury","Experience luxury caving in the fascinating underground caves of Waitomo.","https://i.imgur.com/RNbSyOz.png"
15,"Helicopter tour","Grand Canyon - USA","cold","ancient","relaxation","budget-friendly","Combine ancient relaxation and adventure with a budget-friendly helicopter tour over the Grand Canyon.","https://i.imgur.com/cJrIPzL.png"
16,"Hot springs","Blue Lagoon - Iceland","cold","ancient","relaxation","luxury","Indulge in luxury while relaxing in the ancient hot springs of the Blue Lagoon.","https://i.imgur.com/nn1sOjP.png"
